Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
57,No,Travel_Rarely,361,Research & Development,6,1,Medical,1,14,4,Female,50,1,3,Sales Executive,4,Married,15841,21783,6,Y,No,14,3,3,80,3,20,0,3,1,1,1,0
41,No,Travel_Rarely,1155,Research & Development,18,3,Technical Degree,1,15,4,Female,96,2,1,Manager,3,Single,18476,15399,7,Y,No,13,3,4,80,1,26,6,3,26,3,11,14
20,No,Travel_Rarely,1259,Sales,22,2,Marketing,1,16,3,Male,64,4,1,Laboratory Technician,3,Single,18409,15156,3,Y,No,11,3,4,80,2,31,1,1,30,6,9,0
39,Yes,Travel_Rarely,1108,Research & Development,22,4,Marketing,1,17,2,Male,30,3,4,Laboratory Technician,2,Married,13302,19919,8,Y,Yes,14,3,4,80,3,19,6,2,19,8,12,15
19,No,Travel_Rarely,925,Research & Development,2,1,Other,1,18,1,Male,47,4,4,Human Resources,3,Married,18061,4341,3,Y,Yes,11,3,2,80,1,17,4,3,17,15,14,2
41,No,Travel_Frequently,913,Research & Development,16,1,Human Resources,1,19,2,Male,35,1,4,Sales Representative,1,Married,14735,3652,2,Y,No,11,4,4,80,2,13,1,1,13,4,0,6
47,No,Travel_Frequently,706,Research & Development,17,1,Marketing,1,20,2,Male,48,2,4,Research Scientist,4,Married,2492,6461,0,Y,No,22,4,3,80,1,28,4,4,26,7,11,12
55,No,Travel_Frequently,654,Sales,13,4,Marketing,1,21,2,Male,60,3,1,Manager,3,Married,6541,9855,1,Y,No,25,3,4,80,1,10,5,4,10,2,10,2
19,Yes,Travel_Rarely,1315,Sales,1,2,Medical,1,22,3,Male,77,4,3,Manufacturing Director,4,Divorced,17843,18066,1,Y,Yes,14,4,2,80,1,5,1,2,5,5,5,5
38,Yes,Travel_Frequently,172,Research & Development,27,4,Other,1,23,2,Male,89,2,1,Sales Representative,4,Married,8026,15589,1,Y,No,17,3,3,80,0,30,1,3,19,7,11,4
50,No,Travel_Frequently,1318,Sales,14,4,Marketing,1,24,1,Male,85,2,2,Manufacturing Director,2,Married,15067,24421,7,Y,Yes,15,3,2,80,1,40,4,2,14,12,4,10
29,No,Travel_Rarely,597,Research & Development,10,3,Life Sciences,1,25,4,Male,78,3,2,Sales Representative,4,Divorced,17332,16269,1,Y,No,18,3,3,80,3,31,3,1,31,10,2,16
39,Yes,Travel_Frequently,1319,Research & Development,1,1,Marketing,1,26,3,Female,37,2,3,Manager,2,Single,4999,18470,0,Y,No,17,3,1,80,3,35,4,3,28,9,0,6
42,No,Travel_Rarely,617,Research & Development,29,2,Human Resources,1,27,3,Male,99,4,4,Research Director,3,Married,13447,9168,4,Y,No,17,4,2,80,1,0,6,2,0,0,0,0
44,No,Travel_Rarely,431,Sales,10,3,Human Resources,1,28,2,Male,97,3,3,Sales Representative,3,Married,19284,11429,5,Y,No,23,3,4,80,3,35,0,3,14,14,2,2
59,No,Travel_Rarely,1477,Sales,28,3,Other,1,29,4,Female,41,3,2,Human Resources,3,Married,6236,17311,9,Y,Yes,12,3,3,80,2,36,4,1,11,4,11,5
45,No,Travel_Frequently,812,Research & Development,20,5,Other,1,30,4,Female,44,2,3,Manufacturing Director,4,Single,9538,8263,2,Y,Yes,25,3,4,80,0,3,0,4,3,3,3,3
33,No,Travel_Rarely,348,Research & Development,5,1,Technical Degree,1,31,4,Female,80,1,4,Human Resources,4,Married,12668,6905,5,Y,No,14,3,1,80,2,8,3,4,8,8,8,7
32,No,Travel_Rarely,127,Research & Development,23,2,Medical,1,32,3,Male,97,1,1,Healthcare Representative,1,Single,5656,16957,4,Y,No,17,3,4,80,1,26,4,4,26,11,13,12
20,Yes,Travel_Rarely,1339,Research & Development,3,2,Human Resources,1,33,1,Female,39,1,4,Human Resources,4,Divorced,16750,23121,5,Y,No,13,3,3,80,0,30,0,2,30,3,10,11
54,No,Travel_Frequently,591,Research & Development,1,2,Life Sciences,1,34,4,Male,59,4,1,Manufacturing Director,2,Married,6986,17548,2,Y,No,13,3,1,80,0,14,1,2,3,3,3,3
24,Yes,Travel_Rarely,505,Research & Development,6,1,Life Sciences,1,35,3,Male,75,3,2,Laboratory Technician,1,Single,4703,26422,3,Y,No,25,3,3,80,1,29,1,4,6,6,6,6
38,Yes,Travel_Rarely,1313,Research & Development,25,2,Technical Degree,1,36,2,Female,71,2,5,Sales Representative,4,Married,7075,6479,2,Y,Yes,25,3,1,80,3,7,0,4,7,7,2,7
26,No,Travel_Rarely,584,Human Resources,21,4,Medical,1,37,4,Male,68,1,3,Manufacturing Director,1,Divorced,19652,15884,8,Y,No,12,3,1,80,2,11,1,1,11,6,2,7
56,No,Travel_Rarely,1221,Sales,13,4,Medical,1,38,2,Male,37,2,5,Healthcare Representative,4,Divorced,17918,10841,1,Y,No,17,3,4,80,0,23,4,4,20,15,2,3
35,No,Travel_Rarely,510,Sales,4,1,Other,1,39,4,Female,88,1,4,Laboratory Technician,4,Single,15503,12787,4,Y,Yes,24,3,2,80,3,29,1,3,26,13,8,13
21,Yes,Travel_Rarely,472,Research & Development,8,2,Marketing,1,40,2,Female,90,1,1,Manager,1,Divorced,8449,20278,4,Y,No,13,3,2,80,0,18,5,2,11,4,1,2
42,Yes,Non-Travel,255,Research & Development,9,5,Life Sciences,1,41,3,Male,99,2,4,Manufacturing Director,2,Divorced,14434,17847,4,Y,No,12,3,4,80,1,22,4,3,1,1,1,1
31,Yes,Travel_Rarely,1071,Sales,21,5,Life Sciences,1,42,2,Female,79,4,4,Sales Executive,2,Married,7162,12511,0,Y,Yes,16,3,1,80,0,14,5,4,5,0,5,5
26,No,Travel_Rarely,1482,Sales,12,5,Life Sciences,1,43,3,Male,36,2,2,Research Scientist,4,Divorced,18748,24668,6,Y,No,23,4,2,80,1,14,5,3,14,8,6,6
43,No,Travel_Rarely,245,Research & Development,24,4,Life Sciences,1,44,2,Male,82,2,4,Research Director,1,Divorced,7722,15589,8,Y,No,16,3,2,80,2,1,0,1,1,1,1,1
19,No,Travel_Rarely,837,Sales,13,5,Human Resources,1,45,2,Female,36,4,3,Manufacturing Director,2,Married,18068,10703,8,Y,No,13,3,4,80,0,29,4,2,29,5,14,14
37,Yes,Travel_Rarely,489,Research & Development,29,2,Medical,1,46,2,Female,59,4,2,Research Scientist,2,Divorced,7300,7167,1,Y,No,24,3,4,80,0,32,6,4,32,16,7,12
45,No,Non-Travel,438,Research & Development,27,2,Marketing,1,47,4,Male,83,2,5,Manufacturing Director,2,Single,5246,5721,2,Y,No,24,3,2,80,1,25,5,1,4,4,4,0
24,Yes,Travel_Rarely,757,Research & Development,24,5,Human Resources,1,48,1,Female,67,4,4,Sales Representative,3,Divorced,8949,14242,8,Y,No,17,4,3,80,1,8,1,3,8,7,8,0
25,Yes,Travel_Rarely,1459,Research & Development,3,3,Medical,1,49,1,Male,59,1,5,Research Scientist,2,Married,10248,9660,6,Y,No,19,3,3,80,0,2,4,1,2,2,2,2
52,No,Travel_Frequently,329,Research & Development,24,5,Technical Degree,1,50,4,Female,59,4,3,Manager,4,Married,12504,8134,4,Y,Yes,21,3,4,80,2,1,2,3,1,1,1,1
31,No,Travel_Rarely,999,Research & Development,15,3,Life Sciences,1,51,2,Female,47,2,3,Sales Executive,4,Divorced,9000,15197,0,Y,No,21,3,4,80,3,40,2,4,37,8,11,3
34,No,Non-Travel,1217,Research & Development,12,1,Marketing,1,52,2,Female,91,4,3,Laboratory Technician,2,Divorced,2654,11355,2,Y,No,17,4,1,80,0,11,4,1,11,6,11,10
53,No,Travel_Rarely,308,Research & Development,11,1,Medical,1,53,4,Female,58,3,5,Human Resources,2,Married,12987,9404,1,Y,No,12,3,1,80,0,24,4,4,24,5,2,3
57,Yes,Travel_Rarely,1135,Research & Development,29,2,Technical Degree,1,54,3,Male,78,4,5,Healthcare Representative,1,Single,3562,24987,3,Y,Yes,23,3,1,80,0,6,2,2,6,6,6,6
21,No,Travel_Rarely,1354,Sales,26,4,Life Sciences,1,55,3,Male,74,1,1,Research Director,3,Married,3196,6181,8,Y,No,13,3,4,80,1,21,6,3,21,0,11,7
19,No,Travel_Rarely,579,Sales,9,2,Technical Degree,1,56,4,Female,80,3,2,Sales Executive,4,Divorced,12228,8536,5,Y,No,23,3,2,80,0,12,5,1,3,3,3,0
23,No,Travel_Rarely,494,Sales,16,2,Technical Degree,1,57,1,Male,49,1,4,Manufacturing Director,3,Married,14293,23154,8,Y,No,21,3,1,80,3,14,2,3,2,2,2,2
59,No,Travel_Rarely,1331,Sales,16,4,Human Resources,1,58,3,Female,60,1,2,Laboratory Technician,1,Divorced,8962,18876,1,Y,No,24,3,1,80,2,2,6,3,2,2,2,2
21,No,Travel_Rarely,498,Research & Development,9,2,Technical Degree,1,59,4,Male,76,3,3,Human Resources,2,Divorced,14060,14530,1,Y,No,12,3,3,80,0,29,3,3,21,14,7,9
46,No,Travel_Rarely,928,Research & Development,2,4,Human Resources,1,60,3,Female,42,1,4,Sales Representative,2,Married,4272,10471,1,Y,No,24,3,4,80,1,29,0,1,13,9,6,2
35,No,Travel_Frequently,834,Research & Development,19,2,Other,1,61,4,Female,74,3,1,Laboratory Technician,3,Married,11297,13503,3,Y,Yes,18,4,1,80,1,33,5,1,14,14,7,3
43,No,Non-Travel,935,Research & Development,3,1,Human Resources,1,62,3,Male,99,1,2,Sales Executive,4,Single,6236,18985,9,Y,No,16,3,4,80,2,25,0,1,24,10,1,7
51,No,Non-Travel,566,Research & Development,15,3,Technical Degree,1,63,3,Male,86,2,3,Healthcare Representative,2,Married,13795,14589,2,Y,Yes,15,3,3,80,2,3,5,4,3,3,3,3
27,No,Travel_Rarely,591,Research & Development,5,2,Medical,1,64,4,Male,57,1,4,Laboratory Technician,3,Single,16417,15593,9,Y,No,20,3,4,80,0,27,1,1,27,4,4,8
53,No,Travel_Frequently,198,Research & Development,6,3,Technical Degree,1,65,1,Female,30,3,4,Research Scientist,1,Married,13206,26807,5,Y,No,23,3,4,80,0,0,4,4,0,0,0,0
31,No,Travel_Frequently,807,Sales,25,5,Technical Degree,1,66,1,Male,84,2,3,Laboratory Technician,3,Divorced,6644,7549,7,Y,No,12,3,2,80,3,14,0,2,8,8,8,8
48,No,Travel_Rarely,949,Sales,8,2,Medical,1,67,3,Male,35,2,5,Healthcare Representative,3,Married,7583,26348,3,Y,Yes,21,3,3,80,3,0,2,1,0,0,0,0
32,No,Travel_Rarely,178,Research & Development,25,1,Life Sciences,1,68,3,Male,92,4,2,Healthcare Representative,4,Single,2461,14676,5,Y,No,22,3,2,80,3,6,4,3,6,6,6,2
25,No,Travel_Rarely,473,Human Resources,17,4,Marketing,1,69,1,Male,85,4,4,Research Director,3,Divorced,8797,15067,6,Y,No,24,3,2,80,0,5,5,4,5,2,5,1
31,Yes,Non-Travel,1369,Sales,25,1,Other,1,70,4,Female,85,4,5,Manufacturing Director,3,Married,8208,10920,2,Y,No,12,3,4,80,1,29,3,1,29,2,11,17
40,No,Non-Travel,995,Sales,9,3,Life Sciences,1,71,2,Female,77,2,1,Research Scientist,3,Single,7431,19980,8,Y,No,21,3,1,80,3,19,6,3,17,4,13,9
57,No,Travel_Rarely,502,Research & Development,28,4,Technical Degree,1,72,3,Male,50,4,4,Research Director,4,Married,19754,17245,3,Y,No,16,3,4,80,2,12,3,1,12,2,9,12
38,No,Travel_Frequently,965,Sales,15,1,Life Sciences,1,73,2,Male,77,2,4,Research Director,1,Married,18096,20416,7,Y,No,15,3,1,80,1,32,1,3,20,4,4,8
33,No,Non-Travel,578,Research & Development,15,1,Marketing,1,74,3,Male,93,4,1,Research Director,4,Single,4425,10990,2,Y,No,25,3,4,80,2,13,1,1,12,1,0,2
35,No,Travel_Rarely,1310,Research & Development,27,1,Life Sciences,1,75,1,Male,74,1,1,Sales Executive,2,Married,17709,18623,2,Y,Yes,12,3,1,80,1,9,1,3,9,4,9,4
41,Yes,Travel_Rarely,1461,Research & Development,17,4,Marketing,1,76,4,Male,74,4,4,Human Resources,2,Single,5475,12059,7,Y,No,11,3,1,80,1,29,5,2,11,7,11,11
43,No,Travel_Rarely,563,Research & Development,9,1,Life Sciences,1,77,3,Male,46,3,3,Manufacturing Director,3,Divorced,4437,2890,8,Y,No,22,4,1,80,1,1,4,4,1,0,1,1
42,Yes,Travel_Rarely,118,Research & Development,1,1,Human Resources,1,78,2,Female,71,4,1,Manufacturing Director,2,Divorced,14160,25256,2,Y,No,13,3,1,80,2,1,4,4,1,1,1,1
58,Yes,Travel_Rarely,250,Research & Development,3,3,Technical Degree,1,79,1,Male,93,2,5,Research Director,4,Single,4834,11388,3,Y,No,19,4,4,80,2,24,2,3,14,5,5,13
46,No,Travel_Rarely,845,Research & Development,3,1,Marketing,1,80,3,Female,81,3,1,Research Director,3,Divorced,12379,4070,8,Y,No,18,3,2,80,3,0,6,1,0,0,0,0
32,No,Travel_Rarely,1294,Research & Development,25,1,Other,1,81,4,Male,69,3,4,Manager,4,Divorced,16784,6957,4,Y,No,20,4,3,80,1,29,3,4,15,1,5,13
18,No,Travel_Rarely,423,Sales,16,5,Technical Degree,1,82,3,Male,93,2,4,Manufacturing Director,2,Married,4245,6228,0,Y,No,16,3,2,80,0,22,0,3,3,3,1,1
42,No,Travel_Rarely,1074,Research & Development,13,4,Human Resources,1,83,4,Female,37,3,2,Laboratory Technician,2,Single,7328,11273,8,Y,Yes,14,3,3,80,2,29,6,3,14,8,8,6
24,No,Non-Travel,145,Research & Development,27,5,Life Sciences,1,84,4,Male,80,3,5,Healthcare Representative,4,Married,10583,20016,3,Y,Yes,21,3,2,80,2,13,4,3,13,1,10,13
26,Yes,Travel_Rarely,956,Research & Development,16,3,Technical Degree,1,85,1,Male,95,3,2,Research Director,4,Married,7947,18551,0,Y,Yes,21,3,2,80,1,11,2,3,11,11,6,11
41,Yes,Travel_Rarely,1297,Research & Development,26,5,Life Sciences,1,86,3,Female,79,4,1,Sales Representative,2,Single,19499,8896,8,Y,Yes,18,3,3,80,2,28,3,3,28,9,15,4
18,No,Non-Travel,689,Research & Development,29,2,Life Sciences,1,87,4,Male,49,3,2,Research Director,2,Single,18727,14558,1,Y,Yes,24,3,2,80,0,32,2,4,32,8,5,15
25,No,Travel_Rarely,495,Sales,23,4,Technical Degree,1,88,1,Male,97,1,4,Sales Executive,4,Single,15383,3194,8,Y,No,12,4,1,80,3,23,0,2,23,6,11,4
41,Yes,Travel_Frequently,220,Research & Development,14,1,Marketing,1,89,3,Male,89,1,3,Manufacturing Director,4,Single,2354,9234,8,Y,No,17,3,4,80,2,12,2,1,8,8,0,8
28,Yes,Travel_Frequently,727,Research & Development,6,5,Marketing,1,90,4,Male,83,4,1,Human Resources,1,Divorced,13343,20154,7,Y,No,24,3,4,80,3,5,2,2,5,5,5,3
34,No,Travel_Rarely,1401,Research & Development,19,5,Technical Degree,1,91,1,Male,93,4,4,Manager,4,Divorced,16918,18895,1,Y,Yes,15,3,4,80,1,23,6,1,7,7,7,5
25,No,Travel_Rarely,1188,Research & Development,24,1,Marketing,1,92,3,Female,72,1,1,Research Director,3,Married,14816,12698,4,Y,No,23,4,4,80,1,11,1,2,3,3,3,3
52,No,Travel_Rarely,310,Sales,28,1,Medical,1,93,4,Male,61,3,2,Research Director,4,Married,12802,25693,9,Y,No,19,3,3,80,2,14,0,2,14,1,1,3
52,Yes,Travel_Rarely,841,Research & Development,29,3,Life Sciences,1,94,1,Female,38,1,2,Healthcare Representative,3,Divorced,5510,8586,8,Y,No,14,3,1,80,2,23,6,1,7,3,6,7
50,No,Travel_Rarely,732,Sales,18,5,Technical Degree,1,95,1,Female,59,2,1,Research Director,1,Divorced,7218,22816,4,Y,Yes,13,3,2,80,3,28,4,3,25,18,1,16
22,No,Travel_Rarely,1488,Research & Development,7,5,Other,1,96,3,Female,78,3,1,Manufacturing Director,1,Divorced,18286,25135,2,Y,No,20,3,4,80,0,0,0,4,0,0,0,0
59,Yes,Travel_Frequently,435,Research & Development,5,2,Human Resources,1,97,1,Female,30,1,2,Manager,1,Married,8842,17389,7,Y,No,22,4,3,80,2,33,1,3,24,17,1,8
56,No,Travel_Rarely,1129,Sales,15,2,Technical Degree,1,98,3,Female,78,1,1,Sales Representative,4,Married,12802,25364,2,Y,No,19,3,3,80,1,18,5,4,7,1,5,2
58,No,Travel_Rarely,191,Research & Development,12,5,Technical Degree,1,99,3,Male,66,3,2,Manager,1,Divorced,19218,3804,1,Y,No,21,3,4,80,1,39,3,1,34,10,5,11
45,Yes,Non-Travel,676,Sales,29,2,Life Sciences,1,100,4,Male,91,3,1,Manager,1,Divorced,18401,8113,1,Y,Yes,19,4,3,80,0,14,0,1,14,1,10,10
24,No,Travel_Frequently,936,Sales,26,5,Human Resources,1,101,3,Male,47,3,3,Research Director,3,Divorced,5280,19625,0,Y,No,23,3,4,80,2,40,3,4,27,8,5,14
26,No,Travel_Rarely,1094,Research & Development,28,4,Life Sciences,1,102,1,Female,84,4,1,Healthcare Representative,4,Married,18543,13557,6,Y,No,17,3,2,80,2,33,2,2,33,1,11,13
25,No,Travel_Rarely,1283,Research & Development,6,3,Other,1,103,3,Male,45,2,1,Research Director,1,Married,6170,15684,5,Y,No,12,3,1,80,2,14,4,1,11,10,11,4
29,No,Travel_Rarely,178,Research & Development,24,2,Marketing,1,104,4,Female,78,4,4,Human Resources,3,Married,11901,6663,3,Y,Yes,23,3,1,80,0,17,4,4,17,2,2,10
51,No,Travel_Rarely,1133,Research & Development,8,5,Technical Degree,1,105,1,Male,93,1,3,Manufacturing Director,3,Single,2675,5141,4,Y,No,19,3,2,80,1,24,3,1,0,0,0,0
50,Yes,Travel_Rarely,821,Research & Development,15,2,Life Sciences,1,106,4,Female,86,2,2,Laboratory Technician,4,Single,2075,10515,5,Y,No,25,3,4,80,1,16,5,3,2,0,2,2
40,No,Travel_Rarely,642,Research & Development,14,3,Other,1,107,2,Female,68,4,2,Healthcare Representative,2,Married,5386,6561,0,Y,No,22,3,1,80,3,18,6,1,18,12,3,4
41,No,Travel_Rarely,223,Sales,22,4,Other,1,108,4,Female,97,1,5,Healthcare Representative,2,Married,12451,25134,0,Y,No,15,3,1,80,1,35,5,1,3,3,3,3
54,No,Non-Travel,809,Sales,12,1,Medical,1,109,2,Female,44,3,3,Sales Representative,4,Married,18706,8679,4,Y,No,16,3,2,80,1,27,6,3,24,16,0,4
52,Yes,Travel_Rarely,836,Research & Development,2,1,Technical Degree,1,110,2,Female,41,1,3,Laboratory Technician,2,Single,8430,9706,6,Y,Yes,23,3,4,80,0,23,0,3,5,5,5,4
57,No,Travel_Frequently,360,Research & Development,26,2,Other,1,111,3,Male,93,3,1,Human Resources,1,Divorced,17620,21207,0,Y,No,22,3,4,80,1,5,0,4,5,5,5,5
39,No,Travel_Rarely,1399,Research & Development,15,5,Marketing,1,112,1,Female,49,4,4,Manager,1,Married,8739,6569,0,Y,No,19,3,2,80,3,12,3,4,5,5,0,1
44,No,Travel_Rarely,125,Research & Development,26,3,Life Sciences,1,113,3,Male,63,1,2,Human Resources,4,Divorced,15031,2319,4,Y,Yes,17,3,2,80,2,1,6,3,1,1,1,1
52,No,Travel_Rarely,1268,Research & Development,15,4,Life Sciences,1,114,1,Female,48,2,2,Sales Executive,2,Married,8506,23816,7,Y,No,19,3,1,80,2,5,4,4,5,5,5,5
18,No,Travel_Rarely,141,Sales,6,4,Medical,1,115,4,Male,48,1,4,Research Scientist,1,Single,14535,26556,3,Y,No,13,4,4,80,3,25,2,1,1,1,1,1
52,No,Travel_Rarely,1117,Sales,5,4,Marketing,1,116,2,Male,78,3,4,Research Scientist,2,Married,19065,3264,0,Y,No,22,4,1,80,0,19,4,2,17,7,12,15
54,No,Travel_Rarely,855,Research & Development,4,1,Other,1,117,2,Female,58,4,3,Research Director,3,Married,18128,16212,2,Y,No,19,3,3,80,0,25,3,2,25,12,6,8
31,No,Travel_Rarely,1009,Research & Development,23,3,Medical,1,118,2,Female,49,2,4,Manufacturing Director,3,Married,16060,25678,3,Y,Yes,17,3,1,80,1,10,3,4,10,2,0,10
20,No,Travel_Frequently,1205,Research & Development,17,1,Other,1,119,4,Male,57,2,4,Sales Representative,4,Single,15091,9091,3,Y,No,16,3,3,80,3,9,4,4,9,1,7,1
18,No,Travel_Rarely,962,Sales,15,2,Other,1,120,4,Male,37,4,1,Manufacturing Director,3,Single,6730,22301,5,Y,No,17,3,4,80,2,39,3,3,14,14,4,3
22,No,Non-Travel,1434,Human Resources,26,4,Technical Degree,1,121,3,Female,69,4,3,Manufacturing Director,3,Single,10126,17020,8,Y,No,14,4,1,80,1,13,5,4,13,8,12,3
43,No,Travel_Rarely,754,Sales,10,3,Human Resources,1,122,3,Male,75,1,5,Research Director,2,Divorced,7627,16116,1,Y,No,20,3,3,80,0,26,3,3,26,5,1,15
31,No,Travel_Rarely,1230,Sales,19,4,Other,1,123,1,Male,85,1,5,Manufacturing Director,3,Single,2284,21854,9,Y,No,21,4,3,80,0,27,3,4,5,5,4,5
56,No,Travel_Rarely,388,Human Resources,24,1,Life Sciences,1,124,1,Male,98,2,2,Laboratory Technician,4,Married,10488,17545,1,Y,No,18,3,2,80,3,20,5,2,6,6,5,1
44,Yes,Travel_Frequently,819,Sales,22,1,Other,1,125,2,Male,70,1,4,Human Resources,3,Divorced,4901,7200,4,Y,No,18,3,3,80,1,14,4,1,11,7,11,1
26,No,Travel_Rarely,741,Research & Development,28,1,Medical,1,126,4,Male,57,3,1,Laboratory Technician,1,Married,2138,13354,4,Y,No,14,3,3,80,1,26,6,2,22,17,15,10
32,No,Travel_Rarely,183,Sales,16,4,Other,1,127,4,Male,54,3,4,Healthcare Representative,4,Single,11597,4522,2,Y,No,23,3,4,80,1,7,0,2,7,3,7,1
32,Yes,Travel_Rarely,739,Research & Development,2,3,Life Sciences,1,128,3,Male,85,1,2,Sales Executive,4,Single,14138,14423,8,Y,Yes,18,3,3,80,1,0,6,2,0,0,0,0
43,No,Non-Travel,570,Research & Development,8,3,Life Sciences,1,129,3,Female,87,2,4,Human Resources,4,Single,16246,8703,5,Y,No,12,3,3,80,0,39,6,4,6,6,6,6
59,Yes,Travel_Rarely,251,Research & Development,1,2,Medical,1,130,1,Female,96,1,5,Manager,3,Single,10947,3561,8,Y,No,11,3,3,80,3,22,3,1,7,7,7,7
30,No,Travel_Rarely,761,Research & Development,13,4,Life Sciences,1,131,1,Female,39,4,3,Healthcare Representative,3,Single,6828,3253,6,Y,No,21,3,2,80,3,20,4,2,17,12,14,1
49,No,Travel_Rarely,642,Sales,16,2,Marketing,1,132,3,Female,35,4,4,Manufacturing Director,4,Married,19864,13528,1,Y,No,25,3,3,80,1,36,0,1,11,6,6,10
56,No,Travel_Frequently,1392,Research & Development,29,2,Marketing,1,133,3,Male,67,2,5,Research Director,2,Single,11460,19867,9,Y,Yes,19,3,3,80,1,32,3,2,32,0,1,16
49,No,Non-Travel,664,Research & Development,5,2,Human Resources,1,134,4,Male,47,2,5,Research Scientist,4,Single,17204,19294,0,Y,No,18,3,3,80,1,15,0,2,15,4,6,8
21,Yes,Travel_Frequently,591,Sales,3,2,Marketing,1,135,1,Female,49,4,2,Healthcare Representative,1,Divorced,9286,12604,7,Y,No,18,3,2,80,1,37,0,2,4,4,4,4
47,No,Travel_Rarely,651,Research & Development,23,1,Medical,1,136,3,Male,35,4,3,Research Director,1,Married,13472,18853,9,Y,No,17,3,2,80,1,38,1,2,37,11,1,16
54,No,Non-Travel,382,Sales,2,2,Other,1,137,3,Male,59,3,2,Sales Executive,1,Divorced,13856,16475,3,Y,No,14,3,1,80,1,22,1,2,22,1,4,12
40,Yes,Travel_Rarely,1079,Research & Development,10,3,Marketing,1,138,2,Male,45,1,1,Laboratory Technician,1,Single,3788,7664,6,Y,No,23,3,1,80,0,35,4,3,10,10,6,10
56,No,Travel_Rarely,1419,Research & Development,1,2,Human Resources,1,139,3,Male,54,2,3,Sales Representative,4,Single,16149,25929,3,Y,No,17,3,1,80,3,34,5,2,32,16,13,7
32,No,Travel_Frequently,400,Sales,7,1,Technical Degree,1,140,3,Male,80,4,1,Healthcare Representative,4,Married,16072,21823,1,Y,No,16,3,3,80,1,8,5,2,8,8,8,3
